id,card_id,tag
095e6868-5cf2-4890-8fdd-ce0f8bc80c57,022c7833-383c-42a0-89d4-624b6604332e,創造性
20c65054-9a3b-4567-9b5d-2a5c5dc5768e,fb090e1e-65d3-4c59-bb3e-73086bb1e589,大企業の歪み
23996671-dc19-4d74-a62b-11c4e15396ff,8dfa9b37-fab8-491b-9824-3ce51c6c8384,関係性
2f8e7ec0-be16-443d-8613-1dea36e18ce2,7f40e257-d444-4e82-8079-232242b40272,SNS
71274594-ea42-41b2-8e49-1f317cf63424,fb090e1e-65d3-4c59-bb3e-73086bb1e589,芸術とビジネス
726e2c07-34a7-4f20-82f0-a5ed282f0beb,fb090e1e-65d3-4c59-bb3e-73086bb1e589,創造性
78270846-451a-43d3-a3df-0e7dd5bb5b36,7f40e257-d444-4e82-8079-232242b40272,ネットワーク
7f7e4514-c1fc-467e-9d9c-3e9266138b6e,bd9c8d7c-369c-46b3-ae97-ccb60dac6960,変化対応
8224483f-22b6-4fed-9016-6fd3ad19011d,022c7833-383c-42a0-89d4-624b6604332e,ノーコード
abbc9f94-9407-484b-9208-ba85cf84165b,8dfa9b37-fab8-491b-9824-3ce51c6c8384,経済モデル
c126bddb-2a13-42ca-babd-3312264e3024,9bb5244f-7819-4b24-82a6-65497112291c,ブランド化
c2a4f658-206a-44e2-9526-82615af29de3,bd9c8d7c-369c-46b3-ae97-ccb60dac6960,プロジェクト
c3806a3f-343d-494c-9245-feeb9a55a328,022c7833-383c-42a0-89d4-624b6604332e,テクノロジーの民主化
ce86fbbb-d863-4536-9072-d7b27e40a500,bd9c8d7c-369c-46b3-ae97-ccb60dac6960,アイデンティティ
d9cb3caa-b9dc-4d15-be71-d1de1be8b422,7f40e257-d444-4e82-8079-232242b40272,信頼
e0f693f2-461c-4361-9637-9b2f0ad642ac,8dfa9b37-fab8-491b-9824-3ce51c6c8384,コミュニティ
e56e2f1e-52aa-441c-9c04-e58c70b991d7,9bb5244f-7819-4b24-82a6-65497112291c,個人事業
fdbde261-8f93-440c-a971-be76697775a6,9bb5244f-7819-4b24-82a6-65497112291c,自立